scope,category_th,category_en,sub_category,resource,unit,ef_value,id,ref_source
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,Anaerobic deep lagoon,kgCO2,5.6,67cdedea-92e0-43b0-941c-766b41635415,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,Anaerobic digester for sludge,kgCO2,5.6,6c94dc81-f631-4315-be5f-7e45093f0ef1,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,Anaerobic reactor,kgCO2,5.6,0e0fa307-d655-4002-83e8-f7a6d37fa260,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,Anaerobic shallow lagoon,kgCO2,1.4,b69e17e1-1f3d-4c2b-abc3-31c77ac2f482,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,CH4 Septictank,kgCH4,28,30dc8543-f54d-4d0f-9424-bfc1bbccd924,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-152,kg,16,7ab7b13e-eff5-4dd1-8ae0-930f9013e104,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-152a,kg,138,15c9e0e0-09eb-4dcd-8c40-8f5524159e9e,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-161,kg,4,9888b0cb-32f7-4e6e-bae1-ce3676d880fb,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-227ea,kg,3350,bd1af40f-3d08-4420-83cf-8a3ac2442f6e,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-236cb,kg,1210,9891546d-4c84-4965-bceb-fefdae1bc48c,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-236ea,kg,1330,02c82e0d-acc5-456e-bdd8-41dba3527c85,
